ticker,rows,jump_count,drop_count,volume_spike_count,volatility_shock_count,regime_shift_count,event_count,event_rate
A,6623,70,103,108,452,0,633,0.09557602295032462
AAPL,9121,98,127,167,793,0,1026,0.11248766582611555
ABBV,3324,31,45,62,221,0,317,0.095367027677497
ABNB,1324,6,15,21,35,0,64,0.04833836858006042
ABT,9121,110,117,175,781,0,1028,0.11270694002850565
ACN,6204,77,102,121,495,0,665,0.10718891038039974
ADBE,9121,104,119,172,824,0,1044,0.11446113364762636
AES,8746,95,124,141,702,0,942,0.10770638005945575
AFL,9121,107,128,155,755,0,977,0.10711544786755837
AKAM,6637,76,68,124,494,0,654,0.09853849630857316
ALB,8073,102,118,141,563,0,806,0.0998389694041868
ALGN,6322,63,74,123,551,0,711,0.11246440999683645
ALL,8256,116,116,142,712,0,918,0.11119186046511628
ALLE,3102,36,55,42,238,0,323,0.1041263700838169
AMD,9121,123,124,181,777,0,1043,0.11435149654643131
AMZN,7257,90,95,145,546,0,738,0.1016949152542373
AOS,9121,123,123,133,724,0,974,0.10678653656397324
APD,9121,123,126,126,663,0,905,0.09922157658151519
APTV,3604,38,58,56,211,0,311,0.08629300776914539
ARE,7249,92,137,128,819,0,1027,0.1416747137536212
AVGO,4181,55,50,95,312,0,444,0.10619469026548672
AXP,9121,117,122,175,716,0,944,0.10349742352812191
BAC,9121,120,136,199,692,0,946,0.10371669773051201
BBY,9121,107,129,185,808,0,1048,0.11489968205240654
BK,9121,123,133,126,854,0,1074,0.1177502466834777
BKNG,6785,85,85,137,485,0,672,0.09904200442151806
BLDR,5215,73,62,81,467,0,609,0.11677852348993288
BLK,6657,89,103,123,659,0,828,0.12438035150968905
BMY,9121,103,115,177,819,0,1050,0.11511895625479662
C,9121,122,142,207,980,0,1196,0.13112597302927312
CAT,9121,112,129,141,694,0,930,0.1019625041113913
CCL,9121,125,125,199,875,0,1111,0.12180681942769434
CL,9121,110,128,158,875,0,1088,0.11928516610020831
CLX,9121,122,123,173,754,0,1010,0.11073347220699485
CMCSA,9121,108,116,169,791,0,1043,0.11435149654643131
CMG,5069,58,72,113,397,0,529,0.10435983428684159
COF,7887,100,118,157,756,0,967,0.12260682135159122
COP,9121,106,134,147,849,0,1085,0.11895625479662318
COST,9121,98,100,171,913,0,1106,0.12125863392171911
CPB,9121,137,136,166,876,0,1156,0.12674048898147133
CRM,5471,80,71,117,476,0,633,0.11570096874428806
CSCO,9088,89,124,172,835,0,1056,0.11619718309859155
CVS,9121,101,111,161,754,0,990,0.10854073018309396
CVX,9121,110,134,179,841,0,1081,0.118517706391843
DE,9121,119,122,153,746,0,990,0.10854073018309396
DHI,8507,111,102,104,611,0,829,0.09744915951569295
DHR,9121,114,119,140,691,0,929,0.10185286701019625
DIS,9121,106,124,188,680,0,932,0.10218177831378138
DLTR,7812,103,89,161,632,0,850,0.10880696364567333
DUK,9121,95,140,170,857,0,1115,0.12224536783247451
EL,7633,93,100,143,600,0,811,0.1062491811869514
EMR,9121,115,120,139,706,0,937,0.1027299638197566
EXPE,5199,58,60,97,446,0,568,0.10925177918830545
FDX,9121,139,117,164,943,0,1197,0.13123561013046814
GE,9121,125,126,215,761,0,1035,0.11347439973687096
GILD,8601,111,105,146,615,0,833,0.09684920358097895
GM,3856,45,49,70,147,0,260,0.06742738589211618
GOOG,5431,61,92,99,531,0,667,0.12281347818081384
GOOGL,5431,61,92,108,531,0,667,0.12281347818081384
GS,6762,80,112,132,678,0,841,0.12437148772552499
HD,9121,107,116,191,782,0,1029,0.1128165771297007
HON,9121,115,127,147,828,0,1063,0.1165442385703322
IBM,9121,114,131,192,878,0,1107,0.12136827102291416
INTC,9121,107,117,162,771,0,1009,0.1106238351057998
INTU,8313,105,117,132,715,0,927,0.11151208949837604
ISRG,6478,82,90,132,439,0,622,0.09601728928681692
JNJ,9121,117,132,192,773,0,1024,0.11226839162372547
JPM,9121,135,130,178,852,0,1088,0.11928516610020831
KEYS,2871,32,45,61,220,0,316,0.11006617903169627
KO,9121,101,132,173,885,0,1098,0.12038153711215875
KVUE,722,7,7,16,76,0,89,0.12326869806094183
LEN,9121,140,118,136,791,0,1054,0.1155575046595768
LIN,8499,114,117,142,651,0,890,0.10471820214142841
LLY,9121,122,114,203,816,0,1095,0.12005262580857362
LMT,9121,100,144,195,698,0,972,0.10656726236158316
