ticker,n_windows,true_anomaly_windows,flagged_windows,precision,sensitivity,specificity,f1,mean_abs_score_change,max_abs_score_change
A,1021,998,103,0.9514563106796117,0.09819639278557114,0.782608695652174,0.17801998183469572,0.03245882812668296,0.4779624938964848
AAPL,1341,1250,165,0.9454545454545454,0.1248,0.9010989010989011,0.22049469964664312,0.03178830894071664,0.7788928747177124
ABBV,479,472,74,0.9864864864864865,0.15466101694915255,0.8571428571428571,0.2673992673992674,0.03737012063110223,0.5472238063812256
ABNB,185,185,21,1.0,0.11351351351351352,0.0,0.2038834951456311,0.03317877585473267,0.29552412033081055
ABT,1376,1304,159,0.9371069182389937,0.1142638036809816,0.8611111111111112,0.20369104579630898,0.03086267974159934,0.5974287986755371
ACN,968,932,127,0.968503937007874,0.13197424892703863,0.8888888888888888,0.23229461756373934,0.03229765610956233,0.5617289543151855
ADBE,1256,1229,166,0.963855421686747,0.13018714401952808,0.7777777777777778,0.2293906810035842,0.03530620559753175,0.5972480773925781
AES,1337,1273,161,0.8944099378881988,0.11311861743912019,0.734375,0.200836820083682,0.03238412746769226,1.0577569007873535
AFL,1368,1315,185,0.9567567567567568,0.13460076045627375,0.8490566037735849,0.23599999999999996,0.03424294141408032,0.6582648754119875
AKAM,985,955,144,0.9722222222222222,0.14659685863874344,0.8666666666666667,0.25477707006369427,0.0403449775242224,0.59423828125
ALB,1213,1188,155,0.9612903225806452,0.12542087542087543,0.76,0.22189128816083395,0.031903301233505654,0.3855431079864502
ALGN,953,930,152,0.9671052631578947,0.15806451612903225,0.782608695652174,0.27171903881700554,0.04205538883429615,0.8594341278076167
ALL,1194,1161,146,0.9657534246575342,0.12144702842377261,0.8484848484848485,0.215761285386381,0.033483913138646196,1.190011978149414
ALLE,419,405,52,0.9807692307692307,0.1259259259259259,0.9285714285714286,0.22319474835886213,0.03351142075643585,0.7977347373962405
AMD,1318,1282,159,0.949685534591195,0.11778471138845553,0.7777777777777778,0.2095766828591256,0.03431760658345262,0.617262601852417
AMZN,1054,1028,143,0.972027972027972,0.13521400778210116,0.8461538461538461,0.2374039282664389,0.03647169654752003,0.6746973991394043
AOS,1388,1366,170,0.9764705882352941,0.12152269399707175,0.8181818181818182,0.21614583333333331,0.03168350737474768,0.34687018394470215
APD,1343,1289,138,0.9420289855072463,0.1008533747090768,0.8518518518518519,0.18220042046250878,0.03116498832020426,0.6844544410705562
APTV,529,500,71,0.9859154929577465,0.14,0.9655172413793104,0.24518388791593693,0.031313949010588905,0.7321879863739016
ARE,1048,1009,102,0.9313725490196079,0.09415262636273539,0.8205128205128205,0.171017101710171,0.033780110485801935,0.6134459972381592
AVGO,632,626,77,1.0,0.12300319488817892,1.0,0.21906116642958748,0.03221858246768521,0.7641364336013798
AXP,1344,1240,176,0.8863636363636364,0.12580645161290321,0.8076923076923077,0.22033898305084743,0.032305932808348425,0.5563488006591797
BAC,1410,1317,157,0.8980891719745223,0.1070615034168565,0.8279569892473119,0.19131614654002715,0.031403840899552074,1.1588107347488403
BBY,1334,1321,177,0.9943502824858758,0.1332323996971991,0.9230769230769231,0.23497997329773035,0.03587574862217598,0.780138373374939
BK,1340,1276,161,0.9130434782608695,0.1152037617554859,0.78125,0.2045929018789144,0.031793386923723736,0.6907730102539069
BKNG,984,971,150,0.9866666666666667,0.15242018537590113,0.8461538461538461,0.26404995539696696,0.04924683726088562,1.0164082050323486
BLDR,756,747,92,1.0,0.12315930388219545,1.0,0.2193087008343266,0.03540225810562539,0.8564587831497192
BLK,971,917,112,0.9375,0.11450381679389313,0.8703703703703703,0.2040816326530612,0.03227388342631232,0.8317800760269165
BMY,1412,1357,178,0.9438202247191011,0.12380250552689757,0.8181818181818182,0.2188925081433225,0.03104971774835945,0.6772983074188232
C,1372,1310,149,0.9664429530201343,0.1099236641221374,0.9193548387096774,0.1973954763536669,0.031789754360457737,0.6071174144744873
CAT,1331,1297,137,0.9708029197080292,0.10254433307632999,0.8823529411764706,0.1854951185495118,0.029793974869233318,0.5723047256469727
