rolling_window,min_periods,mad_k,fallback_quantile,n_windows,ticker_count,flagged_windows,roc_auc_from_abs_score_change,pr_auc_from_abs_score_change,f1_score,sensitivity,specificity,precision,tp,tn,fp,fn,tol0_precision,tol0_recall,tol0_f1,tol0_flagged_correct,tol0_true_caught,tol3_precision,tol3_recall,tol3_f1,tol3_flagged_correct,tol3_true_caught,tol5_precision,tol5_recall,tol5_f1,tol5_flagged_correct,tol5_true_caught,tol10_precision,tol10_recall,tol10_f1,tol10_flagged_correct,tol10_true_caught,selection
20,8,1.5,0.95,124502,111,31009,0.45780343013547137,0.9559459841182013,0.3930478622839895,0.24741932250952095,0.7096097356273605,0.9553677964461931,29625,3382,1384,90111,0.9553677964461931,0.24741932250952095,0.3930478622839895,29625,29625,0.991905575800574,0.8429628516068685,0.9113891112977719,30758,100933,0.9965171401851075,0.9457055522148727,0.9704466908331881,30901,113235,0.9995807668741333,0.9965674483864502,0.9980718332279607,30996,119325,best_strict_f1
50,20,1.5,0.95,124502,111,29309,0.45780343013547137,0.9559459841182013,0.37565835821396226,0.23380603995456672,0.7242971044901385,0.9551673547374526,27995,3452,1314,91741,0.9551673547374526,0.23380603995456672,0.37565835821396226,27995,27995,0.992050223480842,0.8252906394066948,0.9010194839939879,29076,98817,0.9964857211095568,0.9331529364602125,0.9637800042471777,29206,111732,0.9996246886621857,0.9919071958308279,0.9957509890097381,29298,118767,best_strict_f1
100,40,1.5,0.95,124502,111,28439,0.45780343013547137,0.9559459841182013,0.36631010629323435,0.22665697868644352,0.7272345782626941,0.9542881254615141,27139,3466,1300,92597,0.9542881254615141,0.22665697868644352,0.36631010629323435,27139,27139,0.9919828404655578,0.8122786797621434,0.8931815071890188,28211,97259,0.9965891908998207,0.9223291240729605,0.9580222652846482,28342,110436,0.9996132072154436,0.9836306541056992,0.9915575306115185,28428,117776,best_strict_f1
20,8,2.0,0.95,124502,111,25898,0.45780343013547137,0.9559459841182013,0.33931636843044893,0.20635397875325717,0.7503147293327738,0.954050505830566,24708,3576,1190,95028,0.954050505830566,0.20635397875325717,0.33931636843044893,24708,24708,0.9923546219785312,0.7784208592236254,0.872464686455501,25700,93205,0.9967178932736118,0.9058929645219483,0.9491375742235189,25813,108468,0.9996138697968955,0.9895102558963053,0.9945364025540793,25888,118480,best_strict_f1
50,20,2.0,0.95,124502,111,24265,0.45780343013547137,0.9559459841182013,0.32149776737661545,0.19332531569452796,0.7656315568610994,0.9539666185864414,23148,3649,1117,96588,0.9539666185864414,0.19332531569452796,0.32149776737661545,23148,23148,0.9929528126931795,0.756589496893165,0.8588048026935804,24094,90591,0.9969091283742015,0.8892313088795349,0.9399966105905526,24190,106473,0.9996703070265816,0.981534375626378,0.990519333242905,24257,117525,best_strict_f1
20,8,1.5,0.95,124502,111,31009,0.45780343013547137,0.9559459841182013,0.3930478622839895,0.24741932250952095,0.7096097356273605,0.9553677964461931,29625,3382,1384,90111,0.9553677964461931,0.24741932250952095,0.3930478622839895,29625,29625,0.991905575800574,0.8429628516068685,0.9113891112977719,30758,100933,0.9965171401851075,0.9457055522148727,0.9704466908331881,30901,113235,0.9995807668741333,0.9965674483864502,0.9980718332279607,30996,119325,best_strict_recall
50,20,1.5,0.95,124502,111,29309,0.45780343013547137,0.9559459841182013,0.37565835821396226,0.23380603995456672,0.7242971044901385,0.9551673547374526,27995,3452,1314,91741,0.9551673547374526,0.23380603995456672,0.37565835821396226,27995,27995,0.992050223480842,0.8252906394066948,0.9010194839939879,29076,98817,0.9964857211095568,0.9331529364602125,0.9637800042471777,29206,111732,0.9996246886621857,0.9919071958308279,0.9957509890097381,29298,118767,best_strict_recall
100,40,1.5,0.95,124502,111,28439,0.45780343013547137,0.9559459841182013,0.36631010629323435,0.22665697868644352,0.7272345782626941,0.9542881254615141,27139,3466,1300,92597,0.9542881254615141,0.22665697868644352,0.36631010629323435,27139,27139,0.9919828404655578,0.8122786797621434,0.8931815071890188,28211,97259,0.9965891908998207,0.9223291240729605,0.9580222652846482,28342,110436,0.9996132072154436,0.9836306541056992,0.9915575306115185,28428,117776,best_strict_recall
20,8,2.0,0.95,124502,111,25898,0.45780343013547137,0.9559459841182013,0.33931636843044893,0.20635397875325717,0.7503147293327738,0.954050505830566,24708,3576,1190,95028,0.954050505830566,0.20635397875325717,0.33931636843044893,24708,24708,0.9923546219785312,0.7784208592236254,0.872464686455501,25700,93205,0.9967178932736118,0.9058929645219483,0.9491375742235189,25813,108468,0.9996138697968955,0.9895102558963053,0.9945364025540793,25888,118480,best_strict_recall
50,20,2.0,0.95,124502,111,24265,0.45780343013547137,0.9559459841182013,0.32149776737661545,0.19332531569452796,0.7656315568610994,0.9539666185864414,23148,3649,1117,96588,0.9539666185864414,0.19332531569452796,0.32149776737661545,23148,23148,0.9929528126931795,0.756589496893165,0.8588048026935804,24094,90591,0.9969091283742015,0.8892313088795349,0.9399966105905526,24190,106473,0.9996703070265816,0.981534375626378,0.990519333242905,24257,117525,best_strict_recall
