rolling_window,min_periods,mad_k,event_type,test_windows_with_event,caught_by_score_change,missed_by_score_change,catch_rate
20,8,1.5,drop,88183,20860,67323,0.23655353072587687
20,8,1.5,jump,88694,21259,67435,0.23968926872167226
20,8,1.5,regime_shift,0,0,0,0.0
20,8,1.5,volatility_shock,75929,18797,57132,0.24756022073252643
20,8,1.5,volume_spike,100768,24736,76032,0.24547475389012385
20,8,2.0,drop,88183,17316,70867,0.1963643786217298
20,8,2.0,jump,88694,17719,70975,0.1997767605475004
20,8,2.0,regime_shift,0,0,0,0.0
20,8,2.0,volatility_shock,75929,15923,60006,0.20970907031568967
20,8,2.0,volume_spike,100768,20622,80146,0.20464830104795173
20,8,2.5,drop,88183,14614,73569,0.1657235521585793
20,8,2.5,jump,88694,15000,73694,0.1691207973481859
20,8,2.5,regime_shift,0,0,0,0.0
20,8,2.5,volatility_shock,75929,13679,62250,0.18015514493803422
20,8,2.5,volume_spike,100768,17552,83216,0.17418228008891712
20,8,3.0,drop,88183,12536,75647,0.1421589195196353
20,8,3.0,jump,88694,12907,75787,0.14552280875820237
20,8,3.0,regime_shift,0,0,0,0.0
20,8,3.0,volatility_shock,75929,11948,63981,0.15735753137799788
20,8,3.0,volume_spike,100768,15130,85638,0.1501468720228644
20,8,3.5,drop,88183,10958,77225,0.12426431398342085
20,8,3.5,jump,88694,11216,77478,0.1264572575371502
20,8,3.5,regime_shift,0,0,0,0.0
20,8,3.5,volatility_shock,75929,10606,65323,0.13968312502469413
20,8,3.5,volume_spike,100768,13275,87493,0.13173825023817085
50,20,1.5,drop,88183,19896,68287,0.2256217184718143
50,20,1.5,jump,88694,20308,68386,0.22896701016979729
50,20,1.5,regime_shift,0,0,0,0.0
50,20,1.5,volatility_shock,75929,18048,57881,0.23769574207483307
50,20,1.5,volume_spike,100768,23425,77343,0.2324646713242299
50,20,2.0,drop,88183,16360,71823,0.18552328680131092
50,20,2.0,jump,88694,16805,71889,0.18947166662908427
50,20,2.0,regime_shift,0,0,0,0.0
50,20,2.0,volatility_shock,75929,15192,60737,0.20008165523054433
50,20,2.0,volume_spike,100768,19379,81389,0.19231303588440773
50,20,2.5,drop,88183,13597,74586,0.1541907170316274
50,20,2.5,jump,88694,13946,74748,0.15723724265452005
50,20,2.5,regime_shift,0,0,0,0.0
50,20,2.5,volatility_shock,75929,12866,63063,0.16944777357794782
50,20,2.5,volume_spike,100768,16218,84550,0.16094395046046364
50,20,3.0,drop,88183,11546,76637,0.1309322658562308
50,20,3.0,jump,88694,11861,76833,0.1337294518231222
50,20,3.0,regime_shift,0,0,0,0.0
50,20,3.0,volatility_shock,75929,11180,64749,0.14724281894928157
50,20,3.0,volume_spike,100768,13852,86916,0.13746427437281677
50,20,3.5,drop,88183,9942,78241,0.11274281891067439
50,20,3.5,jump,88694,10168,78526,0.11464135116242362
50,20,3.5,regime_shift,0,0,0,0.0
50,20,3.5,volatility_shock,75929,9771,66158,0.12868600929816013
50,20,3.5,volume_spike,100768,11982,88786,0.11890679580819308
100,40,1.5,drop,88183,19265,68918,0.2184661442681696
100,40,1.5,jump,88694,19730,68964,0.2224502221119805
100,40,1.5,regime_shift,0,0,0,0.0
100,40,1.5,volatility_shock,75929,17569,58360,0.23138721700536027
100,40,1.5,volume_spike,100768,22741,78027,0.22567680215941568
100,40,2.0,drop,88183,15744,72439,0.1785378134107481
100,40,2.0,jump,88694,16170,72524,0.1823122195413444
100,40,2.0,regime_shift,0,0,0,0.0
100,40,2.0,volatility_shock,75929,14666,61263,0.19315413083275165
100,40,2.0,volume_spike,100768,18671,82097,0.1852869958717053
100,40,2.5,drop,88183,13147,75036,0.14908769263917082
100,40,2.5,jump,88694,13473,75221,0.15190430017814058
100,40,2.5,regime_shift,0,0,0,0.0
100,40,2.5,volatility_shock,75929,12495,63434,0.16456162994376325
100,40,2.5,volume_spike,100768,15691,85077,0.1557141155922515
100,40,3.0,drop,88183,11044,77139,0.12523955864509032
100,40,3.0,jump,88694,11348,77346,0.12794552055381425
100,40,3.0,regime_shift,0,0,0,0.0
100,40,3.0,volatility_shock,75929,10771,65158,0.14185620777305114
100,40,3.0,volume_spike,100768,13270,87498,0.13168863131152747
100,40,3.5,drop,88183,9406,78777,0.10666454985654832
100,40,3.5,jump,88694,9626,79068,0.10853045301824249
100,40,3.5,regime_shift,0,0,0,0.0
100,40,3.5,volatility_shock,75929,9351,66578,0.12315452593870589
100,40,3.5,volume_spike,100768,11367,89401,0.11280366783105748
